"Ticker","Nome","Negócios","Última (R$)","Variação"
"B3SA3","B3","65.885.100","14,72","+0,14%"
"CSAN3","Cosan","43.298.400","3,75","+2,74%"
"ABEV3","Ambev","27.581.700","16,37","+1,49%"
"PETR4","Petrobras","27.398.600","39,33","+0,41%"
"MGLU3","Magazine Luiza","24.418.400","4,42","-5,15%"
"USIM5","Usiminas","22.636.600","8,66","-4,94%"
"BBDC4","Banco Bradesco","21.980.600","17,84","+0,90%"
"ITUB4","Itaú Unibanco","21.074.900","41,05","+0,27%"
"COGN3","Cogna","20.670.300","2,29","-2,55%"
"CMIG4","Cemig","20.307.500","10,99","+2,23%"
"VALE3","Vale","18.415.100","79,38","-1,89%"
"CPLE3","Copel","18.370.100","14,99","+0,87%"
"BBAS3","Banco do Brasil","18.028.200","19,86","+1,43%"
"ITSA4","Itaúsa","16.149.400","13,03","+0,54%"
"CSNA3","Siderúrgica Nacional","14.610.600","5,27","-1,31%"
"LREN3","Lojas Renner","13.736.300","14,54","+2,39%"
"BEEF3","Minerva","13.523.400","3,57","+2,00%"
"SBSP3","Sabesp","13.227.500","28,16","+0,90%"
"TIMS3","TIM","11.970.300","22,30","+1,36%"
"GGBR4","Gerdau","11.955.800","21,70","-0,91%"
"RAIL3","Rumo","11.891.500","12,90","+3,45%"
"CVCB3","CVC","11.604.100","1,32","+4,76%"
"AXIA3","Axia Energia","11.408.600","54,22","+2,59%"
"PRIO3","PetroRio","11.174.300","56,10","-1,02%"
"ASAI3","Assaí","11.121.600","7,94","+3,12%"
"MBRF3","Marfrig","10.337.100","16,80","+9,88%"
"VAMO3","Grupo Vamos","9.999.900","2,81","+2,18%"
"MOTV3","Motiva","8.920.900","14,21","+2,08%"
"POMO4","Marcopolo","8.422.400","5,81","-1,69%"
"WEGE3","WEG","8.107.300","45,71","+1,02%"
"CMIN3","CSN Mineração","8.023.200","4,28","-0,47%"
"KLBN4","Klabin","7.870.100","3,37","-0,30%"
"SAUD3","Odontoprev","7.784.900","13,81","+1,25%"
"GOAU4","Metalúrgica Gerdau","7.733.200","9,55","-0,10%"
"BRKM5","Braskem","7.731.900","7,60","+2,29%"
"KLBN11","Klabin","7.517.300","16,81","-0,71%"
"PETR3","Petrobras","7.480.300","43,98","+0,78%"
"RADL3","RaiaDrogasil","7.415.800","17,00","+1,25%"
"RDOR3","Rede D'Or","7.363.900","34,34","+1,51%"
"ENEV3","Eneva","7.361.600","25,20","+2,31%"
"EQTL3","Equatorial Energia","7.057.300","38,20","+1,46%"
"NATU3","NATURA","7.040.100","7,72","+0,65%"
"MRVE3","MRV","6.995.200","4,90","-1,01%"
"PASS3","COMPASS","6.899.900","25,10","+2,57%"
"BBSE3","BB Seguridade","6.853.500","38,27","-0,93%"
"SUZB3","Suzano","6.635.300","41,95","-0,21%"
"AZZA3","Arezzo","6.510.000","20,10","+3,61%"
"RENT3","Localiza","6.477.500","41,78","+2,35%"
"CYRE3","Cyrela","6.464.000","21,60","-0,28%"
"CEAB3","C&A","6.326.400","9,81","+0,20%"
"HAPV3","Hapvida","6.092.200","10,28","-3,11%"
"VIVT3","Vivo","5.498.100","34,28","+2,21%"
"VBBR3","Vibra Energia","5.426.300","29,39","+1,34%"
"ALOS3","Allos","5.104.100","26,94","+0,37%"
"ANIM3","Ânima Educação","4.921.800","2,58","-1,15%"
"DIRR3","Direcional","4.852.800","13,80","+0,51%"
"RCSL4","Recrusul","4.644.700","0,56","+0,00%"
"QUAL3","Qualicorp","4.384.100","1,92","+2,13%"
"CBAV3","CBA","4.335.600","10,72","-0,28%"
"MOVI3","Movida","4.276.100","9,62","+3,11%"
"EMBJ3","Embraer","4.270.300","78,80","+0,90%"
"PCAR3","Grupo Pão de Açúcar","4.176.700","2,08","+1,96%"
"RAPT4","Randon","4.156.400","4,41","-2,86%"
"ECOR3","EcoRodovias","4.102.000","6,98","+2,50%"
"SANB11","Banco Santander","4.082.500","26,75","-0,74%"
"CXSE3","Caixa Seguridade","4.018.600","19,43","-0,05%"
"AZEV4","Azevedo & Travassos","4.000.900","0,09","-10,00%"
"SLCE3","SLC Agrícola","3.846.100","13,46","+0,30%"
"ONCO3","Oncoclínicas","3.779.400","1,35","-0,74%"
"RAIZ4","Raízen","3.754.700","0,42","+0,00%"
"JHSF3","JHSF","3.535.500","10,75","-0,92%"
"YDUQ3","YDUQS","3.467.300","8,53","+0,95%"
"LWSA3","Locaweb","3.439.300","3,76","-0,53%"
"PMAM3","Paranapanema","3.351.400","0,28","-3,45%"
"TOTS3","Totvs","3.258.100","27,55","+1,10%"
"BHIA3","Casas Bahia","3.249.500","1,13","-2,59%"
"CSMG3","COPASA","3.203.400","58,85","-0,25%"
"ENJU3","Enjoei","3.140.900","1,03","+3,00%"
"UGPA3","Ultrapar","3.132.200","25,49","+1,07%"
"PGMN3","Pague Menos","3.096.900","3,68","+0,27%"
"LIGT3","Light","2.992.700","2,97","+4,58%"
"SBFG3","Grupo SBF","2.852.500","10,20","+1,59%"
"BBDC3","Banco Bradesco","2.831.900","15,54","+0,71%"
"CURY3","Cury","2.797.700","34,33","+1,36%"
"PLPL3","Plano&Plano","2.779.400","8,25","-1,79%"
"GGPS3","GPS","2.759.900","11,58","+0,70%"
"BRAV3","3R Petroleum","2.736.700","18,97","+1,12%"
"GMAT3","Grupo Mateus","2.707.300","3,84","+1,32%"
"GFSA3","Gafisa","2.611.900","1,33","+9,92%"
"VIVA3","Vivara","2.535.200","21,88","+4,64%"
"HYPE3","Hypera","2.505.700","20,33","+0,44%"
"GRND3","Grendene","2.500.600","3,86","-1,53%"
"ENGI11","Energisa","2.489.900","46,66","+1,28%"
"EZTC3","EZTEC","2.484.900","13,12","+1,47%"
"SMFT3","Smart Fit","2.364.000","18,85","-0,42%"
"TTEN3","3tentos","2.299.300","15,19","+6,30%"
"ISAE4","ISA Energia","2.230.500","27,85","-0,50%"
"HBSA3","Hidrovias do Brasil","2.163.100","3,59","+1,99%"
"TEND3","Construtora Tenda","2.042.000","35,00","+1,74%"
"MULT3","Multiplan","2.031.700","28,75","+0,38%"
"INTB3","Intelbras","2.028.200","13,49","+3,13%"
"AURE3","Auren Energia","2.007.800","11,36","+0,53%"
"ITUB3","Itaú Unibanco","1.946.100","43,20","+0,58%"
"TAEE11","Taesa","1.897.500","39,79","-0,33%"
"BRAP4","Bradespar","1.894.100","22,62","-0,53%"
"FLRY3","Fleury","1.870.300","15,07","+0,67%"
"IGTI11","Jereissati Participações","1.769.200","24,18","+0,33%"
"IGTI11","Iguatemi","1.769.200","24,18","+0,33%"
"VVEO3","Viveo","1.763.200","1,22","-3,17%"
"SIMH3","Simpar","1.632.600","7,77","+3,60%"
"AZTE3","AZT Energia","1.579.600","0,16","-5,88%"
"ARML3","Armac","1.522.700","2,88","-4,32%"
"RECV3","PetroRecôncavo","1.521.300","10,11","-0,10%"
"POSI3","Positivo","1.517.100","3,86","-1,03%"
"MLAS3","Multilaser","1.495.300","1,68","+3,07%"
"BRSR6","Banrisul","1.462.600","13,55","-2,31%"
"MILS3","Mills","1.443.300","15,38","+0,52%"
"SAPR11","Sanepar","1.403.400","38,82","+1,81%"
"AXIA7","Axia Energia","1.250.600","52,87","+2,86%"
"LJQQ3","Lojas Quero-Quero","1.237.000","1,38","+0,73%"
"EGIE3","Engie","1.184.200","34,20","-0,06%"
"CPFE3","CPFL Energia","1.130.800","44,12","-0,56%"
"OIBR3","Oi","1.128.200","0,10","-9,09%"
"DXCO3","Dexco","1.082.400","4,83","+0,00%"
"KLBN3","Klabin","1.048.400","3,35","-0,89%"
"AMBP3","Ambipar","1.041.900","0,18","+0,00%"
"SMTO3","São Martinho","1.039.000","14,77","+1,16%"
"EVEN3","Even","1.024.500","5,57","-0,71%"
"PSSA3","Porto Seguro","1.016.100","52,19","-1,16%"
"SAPR4","Sanepar","980.100","7,45","+1,64%"
